date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,2.27,2.26,0.01,2.27,2.26,0.01
2023-01-05,-2.69,-2.72,0.03,-0.48,-0.52,0.04
2023-01-06,2.69,2.74,-0.05,2.19,2.21,-0.01
2023-01-09,0.04,-0.03,0.07,2.23,2.17,0.05
2023-01-10,0.23,0.27,-0.05,2.46,2.45,0.01
2023-01-11,3.58,3.59,0.0,6.13,6.12,0.0
2023-01-12,1.27,1.24,0.03,7.47,7.44,0.03
2023-01-13,-0.62,-0.58,-0.04,6.81,6.82,-0.01
2023-01-16,0.0,0.0,0.0,6.81,6.82,-0.01
2023-01-17,0.28,0.24,0.04,7.11,7.08,0.03
2023-01-18,-1.46,-1.45,-0.01,5.55,5.53,0.02
2023-01-19,-0.55,-0.52,-0.03,4.97,4.98,-0.02
2023-01-20,1.19,1.2,-0.02,6.21,6.25,-0.03
2023-01-23,0.46,0.44,0.02,6.7,6.71,-0.01
2023-01-24,0.25,0.27,-0.02,6.96,7.0,-0.03
2023-01-25,0.05,0.03,0.01,7.01,7.03,-0.02
2023-01-26,1.12,1.11,0.01,8.21,8.21,0.0
2023-01-27,1.12,1.1,0.02,9.42,9.4,0.02
2023-01-30,-1.27,-1.26,-0.01,8.03,8.02,0.01
2023-01-31,2.1,2.11,-0.01,10.3,10.3,0.0
2023-02-01,0.61,0.63,-0.01,10.97,10.99,-0.02
2023-02-02,2.27,2.24,0.03,13.49,13.48,0.01
2023-02-03,-1.88,-1.88,0.0,11.36,11.35,0.01
2023-02-06,-0.73,-0.7,-0.03,10.55,10.57,-0.02
2023-02-07,-0.22,-0.25,0.03,10.31,10.29,0.01
2023-02-08,-0.47,-0.46,-0.01,9.79,9.78,0.0
2023-02-09,-1.09,-1.1,0.01,8.59,8.58,0.01
2023-02-10,0.35,0.35,-0.01,8.96,8.96,0.0
2023-02-13,0.89,0.91,-0.02,9.93,9.95,-0.02
2023-02-14,-0.79,-0.81,0.02,9.06,9.06,0.0
2023-02-15,0.4,0.41,-0.01,9.5,9.5,-0.01
2023-02-16,-0.97,-0.94,-0.04,8.43,8.48,-0.05
2023-02-17,-0.39,-0.41,0.02,8.01,8.03,-0.02
2023-02-20,0.0,0.0,0.0,8.01,8.03,-0.02
2023-02-21,-2.01,-2.01,0.0,5.84,5.86,-0.02
2023-02-22,-0.9,-0.93,0.03,4.88,4.87,0.01
2023-02-23,0.75,0.73,0.02,5.67,5.63,0.04
2023-02-24,-1.75,-1.68,-0.08,3.82,3.86,-0.04
2023-02-27,0.15,0.14,0.01,3.97,4.01,-0.04
2023-02-28,-0.14,-0.16,0.02,3.83,3.84,-0.02
2023-03-01,-1.26,-1.28,0.02,2.52,2.51,0.01
2023-03-02,1.17,1.18,-0.01,3.72,3.72,0.0
2023-03-03,1.52,1.56,-0.04,5.29,5.33,-0.04
2023-03-06,-0.39,-0.43,0.04,4.88,4.88,0.0
2023-03-07,-2.33,-2.32,-0.01,2.43,2.44,-0.01
2023-03-08,1.15,1.17,-0.03,3.61,3.64,-0.03
2023-03-09,-2.29,-2.32,0.03,1.24,1.24,-0.01
2023-03-10,-3.31,-3.33,0.02,-2.12,-2.13,0.01
2023-03-13,1.31,1.34,-0.03,-0.84,-0.82,-0.02
2023-03-14,0.96,0.98,-0.02,0.12,0.16,-0.04
2023-03-15,-0.07,-0.16,0.09,0.05,0.0,0.05
2023-03-16,-0.22,-0.16,-0.06,-0.17,-0.16,-0.01
2023-03-17,-2.27,-2.27,0.01,-2.43,-2.43,0.0
2023-03-20,1.14,1.16,-0.02,-1.32,-1.3,-0.02
2023-03-21,-0.44,-0.45,0.0,-1.76,-1.74,-0.02
2023-03-22,-3.74,-3.7,-0.04,-5.43,-5.37,-0.06
2023-03-23,-0.63,-0.67,0.05,-6.02,-6.01,-0.01
2023-03-24,2.54,2.59,-0.05,-3.63,-3.58,-0.06
