date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,1.74,1.88,-0.14,1.74,1.88,-0.14
2023-01-05,-1.58,0.06,-1.65,0.13,1.94,-1.81
2023-01-06,3.44,1.68,1.76,3.57,3.65,-0.08
2023-01-09,0.63,0.12,0.52,4.23,3.77,0.46
2023-01-10,1.0,1.55,-0.55,5.27,5.38,-0.11
2023-01-11,1.57,0.71,0.85,6.92,6.14,0.78
2023-01-12,0.37,1.1,-0.73,7.32,7.31,0.01
2023-01-13,0.61,0.34,0.28,7.98,7.67,0.31
2023-01-16,0.0,0.0,0.0,7.98,7.67,0.31
2023-01-17,-1.0,-0.95,-0.05,6.89,6.64,0.25
2023-01-18,-1.41,-1.23,-0.18,5.39,5.33,0.06
2023-01-19,-0.77,0.51,-1.28,4.57,5.87,-1.29
2023-01-20,2.01,3.21,-1.2,6.68,9.27,-2.6
2023-01-23,0.33,1.71,-1.38,7.02,11.14,-4.12
2023-01-24,0.06,-0.29,0.35,7.09,10.82,-3.73
2023-01-25,0.2,0.33,-0.12,7.31,11.18,-3.88
2023-01-26,0.48,1.57,-1.09,7.82,12.93,-5.11
2023-01-27,-0.32,0.71,-1.03,7.47,13.73,-6.26
2023-01-30,-0.68,-1.57,0.88,6.74,11.95,-5.21
2023-01-31,2.2,1.2,1.0,9.09,13.29,-4.21
2023-02-01,0.66,1.15,-0.49,9.81,14.6,-4.79
2023-02-02,-0.32,6.61,-6.92,9.46,22.17,-12.71
2023-02-03,-1.8,-2.01,0.21,7.49,19.72,-12.23
2023-02-06,-1.1,-1.22,0.12,6.3,18.26,-11.95
2023-02-07,1.35,1.89,-0.54,7.73,20.49,-12.76
2023-02-08,-0.8,-3.15,2.35,6.87,16.7,-9.83
2023-02-09,-1.45,-2.18,0.74,5.32,14.15,-8.83
2023-02-10,0.37,-0.98,1.34,5.71,13.04,-7.33
2023-02-13,0.52,1.48,-0.96,6.26,14.72,-8.45
2023-02-14,0.23,-0.02,0.25,6.51,14.69,-8.19
2023-02-15,0.44,0.96,-0.53,6.97,15.8,-8.83
2023-02-16,-1.13,-1.56,0.43,5.76,13.99,-8.23
2023-02-17,-0.94,-0.13,-0.8,4.77,13.83,-9.07
2023-02-20,0.0,0.0,0.0,4.77,13.83,-9.07
2023-02-21,-1.65,-2.15,0.51,3.04,11.38,-8.34
2023-02-22,0.75,0.15,0.6,3.81,11.55,-7.74
2023-02-23,0.11,-0.45,0.56,3.93,11.05,-7.12
2023-02-24,0.67,-1.35,2.02,4.63,9.55,-4.92
2023-02-27,0.33,0.28,0.06,4.97,9.85,-4.88
2023-02-28,0.45,0.2,0.26,5.45,10.07,-4.62
2023-03-01,0.78,-0.81,1.59,6.28,9.17,-2.9
2023-03-02,1.14,1.01,0.13,7.49,10.28,-2.79
2023-03-03,1.43,2.13,-0.7,9.02,12.63,-3.61
2023-03-06,-1.62,0.03,-1.65,7.26,12.67,-5.41
2023-03-07,-1.97,-1.06,-0.91,5.14,11.47,-6.33
2023-03-08,0.49,0.12,0.37,5.66,11.61,-5.95
2023-03-09,-2.57,-2.28,-0.29,2.94,9.06,-6.12
2023-03-10,-2.13,-1.44,-0.68,0.75,7.49,-6.74
2023-03-13,-1.02,0.07,-1.09,-0.28,7.56,-7.84
2023-03-14,1.28,2.82,-1.54,0.99,10.59,-9.6
2023-03-15,-3.24,1.02,-4.26,-2.28,11.72,-14.0
2023-03-16,1.15,2.28,-1.13,-1.16,14.26,-15.42
2023-03-17,-1.55,-0.93,-0.62,-2.69,13.19,-15.89
2023-03-20,2.05,0.7,1.35,-0.7,13.98,-14.68
2023-03-21,1.21,2.19,-0.98,0.5,16.48,-15.97
2023-03-22,-1.78,-1.76,-0.02,-1.28,14.43,-15.71
2023-03-23,-0.12,1.69,-1.81,-1.4,16.37,-17.76
2023-03-24,0.81,0.43,0.38,-0.6,16.87,-17.46
2023-03-27,0.74,-0.54,1.28,0.14,16.24,-16.09
2023-03-28,0.48,-0.82,1.3,0.62,15.29,-14.66
2023-03-29,1.39,1.3,0.09,2.02,16.79,-14.77
2023-03-30,0.69,0.52,0.16,2.72,17.39,-14.68
2023-03-31,1.63,1.91,-0.28,4.39,19.63,-15.25
2023-04-03,0.63,0.36,0.27,5.05,20.07,-15.02
2023-04-04,-1.44,0.35,-1.79,3.53,20.48,-16.95
2023-04-05,-0.23,-0.36,0.14,3.3,20.05,-16.75
2023-04-06,-0.24,1.32,-1.56,3.05,21.64,-18.58
2023-04-07,0.0,0.0,0.0,3.05,21.64,-18.58
2023-04-10,0.48,-0.25,0.73,3.55,21.33,-17.79
2023-04-11,0.77,-0.28,1.06,4.35,20.99,-16.64
2023-04-12,0.07,-1.02,1.1,4.43,19.75,-15.32
2023-04-13,1.03,2.09,-1.06,5.5,22.25,-16.76
2023-04-14,-0.72,-0.02,-0.7,4.74,22.23,-17.49
2023-04-17,0.58,-0.59,1.17,5.34,21.51,-16.17
2023-04-18,0.42,-0.51,0.93,5.78,20.89,-15.1
2023-04-19,-0.28,-0.75,0.47,5.49,19.98,-14.49
2023-04-20,-0.11,-1.02,0.91,5.37,18.76,-13.39
2023-04-21,-0.88,0.23,-1.11,4.44,19.03,-14.59
2023-04-24,0.68,-0.13,0.81,5.15,18.87,-13.72
2023-04-25,-2.17,-1.52,-0.64,2.87,17.06,-14.19
2023-04-26,-1.18,-1.05,-0.13,1.66,15.83,-14.18
2023-04-27,1.36,5.78,-4.42,3.04,22.53,-19.49
2023-04-28,1.17,0.88,0.29,4.24,23.61,-19.36
2023-05-01,-0.05,0.0,-0.05,4.19,23.61,-19.42
