date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,1.87,1.88,0.0,1.87,1.88,0.0
2023-01-05,0.14,0.06,0.08,2.02,1.94,0.08
2023-01-06,1.63,1.68,-0.04,3.68,3.65,0.03
2023-01-09,0.16,0.12,0.04,3.85,3.77,0.08
2023-01-10,1.51,1.55,-0.05,5.41,5.38,0.03
2023-01-11,0.72,0.71,0.01,6.17,6.14,0.04
2023-01-12,1.1,1.1,0.0,7.34,7.31,0.04
2023-01-13,0.33,0.34,-0.01,7.69,7.67,0.03
2023-01-16,0.0,0.0,0.0,7.69,7.67,0.03
2023-01-17,-0.94,-0.95,0.01,6.69,6.64,0.04
2023-01-18,-1.21,-1.23,0.01,5.39,5.33,0.06
2023-01-19,0.51,0.51,0.0,5.92,5.87,0.06
2023-01-20,3.13,3.21,-0.09,9.24,9.27,-0.03
2023-01-23,1.75,1.71,0.04,11.15,11.14,0.01
2023-01-24,-0.28,-0.29,0.01,10.84,10.82,0.02
2023-01-25,0.35,0.33,0.03,11.23,11.18,0.05
2023-01-26,1.55,1.57,-0.02,12.96,12.93,0.03
2023-01-27,0.69,0.71,-0.01,13.74,13.73,0.01
2023-01-30,-1.57,-1.57,-0.01,11.95,11.95,0.0
2023-01-31,1.21,1.2,0.01,13.31,13.29,0.02
2023-02-01,1.18,1.15,0.03,14.65,14.6,0.05
2023-02-02,6.57,6.61,-0.04,22.18,22.17,0.01
2023-02-03,-2.0,-2.01,0.0,19.73,19.72,0.01
2023-02-06,-1.2,-1.22,0.02,18.29,18.26,0.03
2023-02-07,1.86,1.89,-0.03,20.49,20.49,0.0
2023-02-08,-3.14,-3.15,0.01,16.7,16.7,0.01
2023-02-09,-2.19,-2.18,0.0,14.15,14.15,0.0
2023-02-10,-0.96,-0.98,0.02,13.06,13.04,0.02
2023-02-13,1.42,1.48,-0.06,14.67,14.72,-0.05
2023-02-14,0.04,-0.02,0.05,14.71,14.69,0.01
2023-02-15,0.91,0.96,-0.05,15.76,15.8,-0.04
2023-02-16,-1.53,-1.56,0.04,13.99,13.99,0.0
2023-02-17,-0.11,-0.13,0.03,13.87,13.83,0.03
2023-02-20,0.0,0.0,0.0,13.87,13.83,0.03
2023-02-21,-2.2,-2.15,-0.05,11.36,11.38,-0.03
2023-02-22,0.2,0.15,0.05,11.58,11.55,0.03
2023-02-23,-0.46,-0.45,-0.01,11.07,11.05,0.02
2023-02-24,-1.39,-1.35,-0.04,9.52,9.55,-0.02
2023-02-27,0.32,0.28,0.04,9.87,9.85,0.02
2023-02-28,0.17,0.2,-0.03,10.06,10.07,-0.01
2023-03-01,-0.77,-0.81,0.05,9.22,9.17,0.04
2023-03-02,0.94,1.01,-0.07,10.24,10.28,-0.04
2023-03-03,2.18,2.13,0.06,12.65,12.63,0.02
2023-03-06,0.0,0.03,-0.03,12.65,12.67,-0.01
2023-03-07,-1.02,-1.06,0.04,11.5,11.47,0.03
2023-03-08,0.06,0.12,-0.07,11.56,11.61,-0.05
2023-03-09,-2.25,-2.28,0.03,9.05,9.06,-0.01
2023-03-10,-1.41,-1.44,0.03,7.51,7.49,0.02
2023-03-13,0.0,0.07,-0.07,7.51,7.56,-0.05
2023-03-14,2.83,2.82,0.01,10.55,10.59,-0.04
2023-03-15,1.08,1.02,0.06,11.75,11.72,0.03
2023-03-16,2.25,2.28,-0.03,14.26,14.26,-0.01
2023-03-17,-0.95,-0.93,-0.02,13.17,13.19,-0.03
2023-03-20,0.75,0.7,0.05,14.01,13.98,0.03
2023-03-21,2.13,2.19,-0.05,16.44,16.48,-0.03
2023-03-22,-1.75,-1.76,0.0,14.4,14.43,-0.03
2023-03-23,1.62,1.69,-0.07,16.26,16.37,-0.11
2023-03-24,0.51,0.43,0.08,16.86,16.87,-0.01
2023-03-27,-0.56,-0.54,-0.03,16.2,16.24,-0.04
2023-03-28,-0.82,-0.82,0.0,15.25,15.29,-0.04
2023-03-29,1.32,1.3,0.02,16.77,16.79,-0.01
2023-03-30,0.48,0.52,-0.04,17.33,17.39,-0.06
2023-03-31,1.92,1.91,0.01,19.58,19.63,-0.05
2023-04-03,0.41,0.36,0.05,20.07,20.07,0.01
2023-04-04,0.31,0.35,-0.04,20.45,20.48,-0.04
2023-04-05,-0.33,-0.36,0.04,20.05,20.05,0.0
2023-04-06,1.25,1.32,-0.07,21.56,21.64,-0.08
2023-04-07,0.0,0.0,0.0,21.56,21.64,-0.08
2023-04-10,-0.22,-0.25,0.03,21.29,21.33,-0.04
2023-04-11,-0.26,-0.28,0.03,20.98,20.99,-0.01
2023-04-12,-1.04,-1.02,-0.02,19.72,19.75,-0.03
2023-04-13,2.08,2.09,-0.01,22.22,22.25,-0.04
2023-04-14,-0.03,-0.02,-0.01,22.18,22.23,-0.05
2023-04-17,-0.57,-0.59,0.01,21.48,21.51,-0.03
2023-04-18,-0.51,-0.51,0.0,20.86,20.89,-0.03
2023-04-19,-0.75,-0.75,0.0,19.95,19.98,-0.03
2023-04-20,-1.03,-1.02,-0.01,18.71,18.76,-0.04
