date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,-0.01,0.06,-0.07,-0.01,0.06,-0.07
2023-01-05,1.82,1.93,-0.11,1.81,1.99,-0.18
2023-01-06,1.9,1.75,0.14,3.74,3.78,-0.03
2023-01-09,-0.35,-0.34,-0.02,3.38,3.43,-0.05
2023-01-10,0.71,0.7,0.01,4.11,4.16,-0.04
2023-01-11,0.31,0.32,-0.01,4.43,4.49,-0.06
2023-01-12,1.91,1.91,0.0,6.42,6.49,-0.06
2023-01-13,0.14,0.13,0.01,6.58,6.62,-0.05
2023-01-16,0.0,0.0,0.0,6.58,6.62,-0.05
2023-01-17,0.21,0.18,0.03,6.8,6.82,-0.02
2023-01-18,-1.83,-1.76,-0.07,4.85,4.93,-0.09
2023-01-19,1.24,1.16,0.08,6.15,6.15,0.0
2023-01-20,0.99,1.25,-0.25,7.2,7.47,-0.27
2023-01-23,0.13,-0.1,0.24,7.35,7.36,-0.02
2023-01-24,-0.39,-0.27,-0.12,6.93,7.08,-0.14
2023-01-25,0.01,-0.12,0.13,6.94,6.95,-0.01
2023-01-26,3.16,3.22,-0.06,10.32,10.39,-0.07
2023-01-27,-2.02,-1.99,-0.03,8.09,8.19,-0.1
2023-01-30,-2.29,-2.28,-0.01,5.62,5.73,-0.11
2023-01-31,0.89,0.78,0.1,6.55,6.55,0.0
2023-02-01,-1.97,-1.87,-0.1,4.45,4.57,-0.11
2023-02-02,-2.28,-2.3,0.02,2.07,2.16,-0.09
2023-02-03,-0.22,-0.17,-0.05,1.85,1.99,-0.14
2023-02-06,-0.45,-0.43,-0.03,1.39,1.55,-0.17
2023-02-07,3.25,3.08,0.17,4.68,4.68,0.0
2023-02-08,-0.89,-0.83,-0.07,3.74,3.81,-0.07
2023-02-09,-0.86,-0.8,-0.05,2.86,2.98,-0.12
2023-02-10,3.92,3.88,0.04,6.88,6.97,-0.09
2023-02-13,-0.25,-0.24,-0.02,6.61,6.72,-0.11
2023-02-14,0.03,0.02,0.01,6.65,6.75,-0.1
2023-02-15,-1.7,-1.72,0.02,4.83,4.91,-0.07
2023-02-16,-0.98,-0.97,-0.01,3.8,3.88,-0.08
2023-02-17,-3.56,-3.59,0.03,0.11,0.16,-0.05
2023-02-20,0.0,0.0,0.0,0.11,0.16,-0.05
2023-02-21,-0.5,-0.4,-0.1,-0.39,-0.24,-0.15
2023-02-22,-0.67,-0.69,0.03,-1.05,-0.93,-0.12
2023-02-23,1.51,1.31,0.2,0.44,0.36,0.08
2023-02-24,-0.13,0.02,-0.15,0.31,0.38,-0.08
2023-02-27,0.3,0.35,-0.05,0.6,0.73,-0.13
2023-02-28,-1.44,-1.46,0.03,-0.84,-0.74,-0.1
2023-03-01,1.97,1.99,-0.02,1.11,1.23,-0.12
2023-03-02,0.88,0.86,0.02,2.0,2.1,-0.1
2023-03-03,1.36,1.44,-0.08,3.39,3.57,-0.18
2023-03-06,0.05,-0.02,0.07,3.44,3.55,-0.12
2023-03-07,-1.74,-1.74,-0.01,1.64,1.75,-0.12
2023-03-08,-1.03,-1.03,0.01,0.59,0.7,-0.11
2023-03-09,-1.41,-1.39,-0.02,-0.83,-0.7,-0.13
2023-03-10,-1.28,-1.39,0.11,-2.1,-2.08,-0.02
2023-03-13,-2.03,-1.97,-0.06,-4.09,-4.0,-0.08
2023-03-14,0.99,0.98,0.0,-3.14,-3.06,-0.08
2023-03-15,-5.37,-5.36,-0.01,-8.34,-8.25,-0.09
2023-03-16,1.09,1.07,0.02,-7.35,-7.27,-0.07
