date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,1.6,1.59,0.02,1.6,1.59,0.02
2023-01-05,-0.75,-0.83,0.08,0.84,0.74,0.1
2023-01-06,2.22,2.28,-0.05,3.09,3.04,0.05
2023-01-09,-0.37,-0.43,0.06,2.71,2.59,0.12
2023-01-10,0.57,0.65,-0.08,3.29,3.26,0.03
2023-01-11,0.93,0.86,0.07,4.25,4.15,0.11
2023-01-12,0.2,0.23,-0.04,4.46,4.39,0.07
2023-01-13,0.75,0.73,0.03,5.24,5.15,0.1
2023-01-16,0.0,0.0,0.0,5.24,5.15,0.1
2023-01-17,-0.66,-0.68,0.01,4.55,4.43,0.11
2023-01-18,-1.87,-1.84,-0.03,2.59,2.52,0.08
2023-01-19,-1.16,-1.2,0.04,1.4,1.29,0.11
2023-01-20,1.58,1.66,-0.08,3.0,2.96,0.04
2023-01-23,1.16,1.12,0.04,4.2,4.12,0.08
2023-01-24,0.06,0.1,-0.05,4.25,4.23,0.03
2023-01-25,0.78,0.74,0.04,5.07,5.0,0.07
2023-01-26,0.53,0.5,0.03,5.62,5.52,0.1
2023-01-27,0.0,0.05,-0.05,5.62,5.58,0.05
2023-01-30,-0.5,-0.49,-0.01,5.1,5.06,0.04
2023-01-31,1.36,1.34,0.02,6.53,6.47,0.06
2023-02-01,0.0,0.02,-0.02,6.53,6.49,0.04
2023-02-02,0.27,0.21,0.06,6.82,6.71,0.11
2023-02-03,-0.19,-0.07,-0.12,6.61,6.64,-0.02
2023-02-06,-0.03,-0.13,0.11,6.59,6.5,0.09
2023-02-07,1.15,1.16,-0.02,7.81,7.74,0.07
2023-02-08,-0.59,-0.56,-0.03,7.17,7.13,0.04
2023-02-09,-1.11,-1.2,0.09,5.97,5.85,0.13
2023-02-10,0.33,0.4,-0.07,6.32,6.27,0.05
2023-02-13,1.15,1.1,0.05,7.55,7.45,0.1
2023-02-14,-0.54,-0.53,-0.01,6.96,6.88,0.09
2023-02-15,0.11,0.16,-0.05,7.08,7.05,0.03
2023-02-16,-1.01,-1.07,0.06,6.0,5.91,0.1
2023-02-17,0.03,0.06,-0.03,6.03,5.97,0.07
2023-02-20,0.0,0.0,0.0,6.03,5.97,0.07
2023-02-21,-2.06,-2.01,-0.05,3.85,3.83,0.01
2023-02-22,-0.11,-0.2,0.08,3.73,3.63,0.1
2023-02-23,0.08,0.15,-0.07,3.82,3.79,0.03
2023-02-24,0.08,0.11,-0.02,3.9,3.89,0.01
2023-02-27,-0.03,-0.05,0.02,3.88,3.85,0.03
2023-02-28,0.2,0.17,0.03,4.08,4.02,0.06
2023-03-01,-0.34,-0.36,0.02,3.73,3.65,0.08
2023-03-02,-0.48,-0.49,0.01,3.23,3.15,0.09
2023-03-03,1.58,1.61,-0.03,4.87,4.81,0.06
2023-03-06,0.08,0.07,0.01,4.95,4.88,0.07
2023-03-07,-2.58,-2.54,-0.04,2.24,2.22,0.03
2023-03-08,-0.37,-0.4,0.03,1.86,1.8,0.06
2023-03-09,-4.06,-4.08,0.02,-2.27,-2.35,0.08
2023-03-10,-1.82,-1.76,-0.06,-4.05,-4.06,0.01
2023-03-13,-3.95,-3.78,-0.17,-7.84,-7.69,-0.15
2023-03-14,2.02,1.9,0.12,-5.97,-5.93,-0.04
2023-03-15,-2.67,-2.84,0.18,-8.48,-8.6,0.13
2023-03-16,1.91,1.98,-0.06,-6.73,-6.8,0.07
2023-03-17,-3.22,-3.28,0.06,-9.73,-9.86,0.13
2023-03-20,1.11,1.2,-0.09,-8.73,-8.78,0.05
2023-03-21,2.53,2.54,0.0,-6.42,-6.46,0.04
2023-03-22,-2.32,-2.37,0.06,-8.59,-8.68,0.1
2023-03-23,-0.67,-0.66,-0.01,-9.2,-9.28,0.08
2023-03-24,-0.06,-0.06,0.0,-9.26,-9.34,0.08
2023-03-27,1.39,1.4,-0.01,-8.0,-8.07,0.07
2023-03-28,-0.03,-0.06,0.03,-8.03,-8.12,0.09
2023-03-29,1.46,1.5,-0.03,-6.68,-6.74,0.06
2023-03-30,-0.22,-0.27,0.05,-6.89,-6.99,0.1
2023-03-31,1.1,1.16,-0.06,-5.86,-5.92,0.05
2023-04-03,0.19,0.2,-0.02,-5.69,-5.73,0.04
2023-04-04,-0.93,-1.01,0.07,-6.57,-6.67,0.11
2023-04-05,-0.13,-0.05,-0.07,-6.68,-6.72,0.04
2023-04-06,0.38,0.31,0.07,-6.33,-6.44,0.1
2023-04-07,0.0,0.0,0.0,-6.33,-6.44,0.1
2023-04-10,0.22,0.27,-0.05,-6.13,-6.18,0.05
2023-04-11,0.87,0.85,0.02,-5.31,-5.39,0.08
2023-04-12,-0.22,-0.2,-0.01,-5.51,-5.58,0.07
2023-04-13,0.9,0.86,0.04,-4.66,-4.77,0.1
2023-04-14,0.98,1.05,-0.07,-3.73,-3.76,0.04
2023-04-17,1.16,1.14,0.01,-2.61,-2.66,0.05
2023-04-18,0.3,0.31,-0.01,-2.32,-2.36,0.04
2023-04-19,0.24,0.26,-0.02,-2.09,-2.11,0.02
2023-04-20,-0.3,-0.32,0.02,-2.38,-2.42,0.04
2023-04-21,-0.36,-0.39,0.03,-2.73,-2.81,0.08
2023-04-24,-0.24,-0.2,-0.04,-2.97,-3.0,0.04
2023-04-25,-1.72,-1.76,0.04,-4.63,-4.71,0.08
2023-04-26,-0.95,-0.96,0.0,-5.54,-5.62,0.08
2023-04-27,1.61,1.61,0.01,-4.02,-4.11,0.09
2023-04-28,1.19,1.23,-0.04,-2.88,-2.92,0.05
2023-05-01,-0.27,-0.27,0.0,-3.14,-3.18,0.04
2023-05-02,-2.27,-2.29,0.03,-5.34,-5.4,0.07
2023-05-03,-1.14,-1.19,0.04,-6.42,-6.53,0.11
2023-05-04,-1.28,-1.27,-0.02,-7.62,-7.71,0.09
2023-05-05,2.47,2.44,0.03,-5.34,-5.46,0.12
2023-05-08,0.15,0.22,-0.07,-5.19,-5.25,0.06
2023-05-09,-0.37,-0.37,0.0,-5.54,-5.6,0.06
2023-05-10,-0.56,-0.58,0.02,-6.07,-6.14,0.07
2023-05-11,-0.16,-0.16,0.0,-6.22,-6.29,0.08
2023-05-12,-0.41,-0.41,0.0,-6.6,-6.67,0.08
2023-05-15,0.82,0.82,0.0,-5.83,-5.91,0.08
2023-05-16,-0.93,-0.96,0.03,-6.71,-6.82,0.11
2023-05-17,2.01,2.09,-0.08,-4.84,-4.87,0.03
2023-05-18,0.74,0.7,0.03,-4.14,-4.2,0.06
2023-05-19,-0.43,-0.45,0.02,-4.55,-4.63,0.08
2023-05-22,0.18,0.23,-0.05,-4.37,-4.4,0.03
2023-05-23,-1.16,-1.22,0.06,-5.48,-5.57,0.09
2023-05-24,-1.3,-1.31,0.0,-6.71,-6.8,0.09
2023-05-25,-0.03,0.04,-0.07,-6.74,-6.77,0.02
2023-05-26,0.82,0.74,0.07,-5.98,-6.07,0.09
2023-05-29,0.0,0.0,0.0,-5.98,-6.07,0.09
2023-05-30,-0.03,0.0,-0.03,-6.01,-6.07,0.06
2023-05-31,-1.06,-1.11,0.05,-7.01,-7.12,0.11
2023-06-01,1.07,1.14,-0.07,-6.01,-6.06,0.04
2023-06-02,2.18,2.18,0.0,-3.96,-4.0,0.04
2023-06-05,-0.52,-0.56,0.04,-4.46,-4.54,0.08
2023-06-06,1.26,1.33,-0.07,-3.26,-3.27,0.01
2023-06-07,0.39,0.35,0.05,-2.88,-2.94,0.06
2023-06-08,-0.09,-0.09,0.0,-2.97,-3.02,0.06
2023-06-09,0.03,0.07,-0.04,-2.94,-2.95,0.02
2023-06-12,-0.03,-0.09,0.06,-2.97,-3.04,0.08
2023-06-13,0.6,0.62,-0.01,-2.38,-2.44,0.06
2023-06-14,-0.39,-0.35,-0.04,-2.76,-2.79,0.03
2023-06-15,1.32,1.28,0.05,-1.47,-1.54,0.07
2023-06-16,-0.21,-0.22,0.01,-1.68,-1.76,0.08
2023-06-19,0.0,0.0,0.0,-1.68,-1.76,0.08
2023-06-20,-0.74,-0.69,-0.06,-2.41,-2.43,0.03
2023-06-21,-0.12,-0.19,0.07,-2.53,-2.62,0.09
2023-06-22,-0.78,-0.74,-0.04,-3.29,-3.34,0.05
2023-06-23,-0.43,-0.42,-0.01,-3.7,-3.75,0.04
2023-06-26,-0.21,-0.2,-0.02,-3.91,-3.93,0.03
2023-06-27,0.8,0.71,0.09,-3.14,-3.25,0.11
2023-06-28,-0.24,-0.18,-0.06,-3.38,-3.43,0.05
2023-06-29,1.74,1.7,0.04,-1.7,-1.79,0.09
2023-06-30,0.87,0.91,-0.04,-0.85,-0.9,0.05
2023-07-03,0.56,0.63,-0.07,-0.29,-0.28,-0.02
2023-07-04,0.0,0.0,0.0,-0.29,-0.28,-0.02
2023-07-05,-0.21,-0.27,0.06,-0.5,-0.54,0.05
