date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.88,0.91,-0.03,0.88,0.91,-0.03
2023-01-05,-1.08,-1.09,0.01,-0.2,-0.18,-0.02
2023-01-06,2.74,2.69,0.05,2.53,2.51,0.02
2023-01-09,-0.45,-0.42,-0.03,2.07,2.08,-0.01
2023-01-10,0.55,0.54,0.01,2.63,2.63,0.0
2023-01-11,0.96,0.96,0.0,3.62,3.61,0.0
2023-01-12,0.59,0.57,0.02,4.23,4.2,0.02
2023-01-13,-0.12,-0.12,0.01,4.1,4.08,0.03
2023-01-16,0.0,0.0,0.0,4.1,4.08,0.03
2023-01-17,-0.85,-0.84,-0.01,3.22,3.2,0.02
2023-01-18,-1.88,-1.84,-0.04,1.28,1.3,-0.02
2023-01-19,-2.06,-2.05,-0.01,-0.8,-0.78,-0.02
2023-01-20,1.39,1.4,-0.01,0.58,0.61,-0.03
2023-01-23,1.09,1.09,0.0,1.68,1.71,-0.04
2023-01-24,0.66,0.65,0.01,2.35,2.37,-0.02
2023-01-25,-0.56,-0.53,-0.03,1.78,1.83,-0.05
2023-01-26,0.55,0.56,-0.01,2.34,2.39,-0.06
2023-01-27,0.42,0.35,0.07,2.76,2.76,0.01
2023-01-30,-0.98,-0.97,-0.01,1.76,1.76,0.0
2023-01-31,1.7,1.71,-0.02,3.49,3.5,-0.02
2023-02-01,0.73,0.72,0.01,4.24,4.25,-0.01
2023-02-02,0.78,0.79,-0.01,5.05,5.07,-0.02
2023-02-03,-0.52,-0.52,0.0,4.5,4.52,-0.02
2023-02-06,-0.24,-0.21,-0.04,4.25,4.31,-0.06
2023-02-07,0.31,0.25,0.06,4.57,4.57,0.01
2023-02-08,-0.56,-0.59,0.02,3.98,3.95,0.03
2023-02-09,-0.9,-0.87,-0.03,3.05,3.05,0.0
2023-02-10,0.71,0.74,-0.03,3.78,3.81,-0.03
2023-02-13,0.91,0.89,0.02,4.72,4.73,0.0
2023-02-14,-0.27,-0.28,0.01,4.44,4.44,0.0
2023-02-15,0.62,0.63,-0.01,5.09,5.09,0.0
2023-02-16,-1.03,-1.05,0.01,4.0,3.99,0.01
2023-02-17,0.65,0.68,-0.02,4.68,4.7,-0.01
2023-02-20,0.0,0.0,0.0,4.68,4.7,-0.01
2023-02-21,-2.29,-2.29,0.0,2.29,2.3,-0.01
2023-02-22,-0.25,-0.26,0.01,2.03,2.04,0.0
2023-02-23,0.47,0.47,0.0,2.51,2.51,0.0
2023-02-24,-0.57,-0.57,-0.01,1.92,1.93,-0.01
2023-02-27,0.89,0.87,0.02,2.82,2.82,0.01
2023-02-28,-0.23,-0.23,0.0,2.59,2.58,0.01
2023-03-01,0.4,0.38,0.02,3.0,2.97,0.03
2023-03-02,1.17,1.21,-0.03,4.21,4.21,-0.01
2023-03-03,1.08,1.07,0.01,5.33,5.33,0.0
2023-03-06,-0.18,-0.19,0.01,5.14,5.13,0.01
2023-03-07,-1.29,-1.26,-0.02,3.79,3.8,-0.01
2023-03-08,0.23,0.23,0.01,4.03,4.03,0.0
2023-03-09,-1.47,-1.45,-0.03,2.5,2.53,-0.03
2023-03-10,-1.86,-1.81,-0.05,0.59,0.67,-0.08
2023-03-13,-0.57,-0.61,0.04,0.02,0.05,-0.03
2023-03-14,1.06,1.06,0.0,1.08,1.11,-0.04
2023-03-15,-2.46,-2.51,0.05,-1.41,-1.42,0.01
2023-03-16,1.29,1.27,0.02,-0.14,-0.17,0.03
2023-03-17,-1.64,-1.62,-0.02,-1.78,-1.79,0.01
2023-03-20,1.32,1.36,-0.04,-0.48,-0.45,-0.03
2023-03-21,1.16,1.13,0.03,0.67,0.67,0.0
2023-03-22,-1.92,-1.91,-0.01,-1.26,-1.25,-0.01
2023-03-23,-0.29,-0.23,-0.06,-1.54,-1.47,-0.07
2023-03-24,0.41,0.35,0.06,-1.14,-1.12,-0.01
2023-03-27,0.84,0.82,0.01,-0.31,-0.31,0.0
2023-03-28,0.51,0.54,-0.03,0.2,0.23,-0.03
2023-03-29,1.46,1.42,0.04,1.66,1.66,0.0
2023-03-30,0.21,0.25,-0.04,1.87,1.91,-0.04
2023-03-31,1.32,1.32,0.0,3.22,3.26,-0.03
2023-04-03,0.18,0.19,-0.01,3.4,3.45,-0.05
2023-04-04,-2.24,-2.25,0.01,1.09,1.12,-0.03
2023-04-05,-1.3,-1.3,0.0,-0.23,-0.19,-0.03
2023-04-06,-0.03,-0.02,-0.01,-0.26,-0.22,-0.04
2023-04-07,0.0,0.0,0.0,-0.26,-0.22,-0.04
2023-04-10,0.91,0.9,0.01,0.65,0.68,-0.03
2023-04-11,0.6,0.59,0.01,1.25,1.27,-0.02
2023-04-12,0.33,0.33,0.0,1.59,1.61,-0.02
2023-04-13,0.37,0.39,-0.02,1.97,2.0,-0.03
2023-04-14,-0.12,-0.12,0.0,1.84,1.88,-0.03
2023-04-17,0.79,0.79,0.0,2.65,2.68,-0.03
2023-04-18,0.48,0.46,0.01,3.14,3.16,-0.02
2023-04-19,-0.08,-0.07,-0.01,3.06,3.09,-0.03
2023-04-20,-0.18,-0.18,0.0,2.87,2.9,-0.02
2023-04-21,-0.23,-0.22,-0.01,2.64,2.67,-0.03
2023-04-24,0.24,0.23,0.01,2.88,2.9,-0.02
2023-04-25,-1.84,-1.83,-0.01,0.99,1.01,-0.03
2023-04-26,-1.89,-1.86,-0.03,-0.92,-0.87,-0.05
2023-04-27,1.98,1.99,-0.01,1.04,1.1,-0.06
