date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.26,2.26,-2.0,0.26,2.26,-2.0
2023-01-05,-1.94,-2.72,0.78,-1.69,-0.52,-1.16
2023-01-06,2.93,2.74,0.19,1.19,2.21,-1.01
2023-01-09,1.16,-0.03,1.19,2.37,2.17,0.19
2023-01-10,0.62,0.27,0.35,3.0,2.45,0.55
2023-01-11,1.73,3.59,-1.85,4.79,6.12,-1.34
2023-01-12,0.74,1.24,-0.5,5.57,7.44,-1.88
2023-01-13,0.28,-0.58,0.86,5.87,6.82,-0.95
2023-01-16,0.0,0.0,0.0,5.87,6.82,-0.95
2023-01-17,0.45,0.24,0.21,6.34,7.08,-0.73
2023-01-18,-1.29,-1.45,0.16,4.97,5.53,-0.56
2023-01-19,-1.17,-0.52,-0.65,3.75,4.98,-1.23
2023-01-20,2.71,1.2,1.5,6.56,6.25,0.31
2023-01-23,2.28,0.44,1.84,8.98,6.71,2.27
2023-01-24,-0.04,0.27,-0.31,8.93,7.0,1.94
2023-01-25,-0.21,0.03,-0.24,8.71,7.03,1.68
2023-01-26,1.6,1.11,0.49,10.44,8.21,2.23
2023-01-27,0.42,1.1,-0.68,10.9,9.4,1.5
2023-01-30,-1.91,-1.26,-0.65,8.79,8.02,0.76
2023-01-31,1.39,2.11,-0.71,10.3,10.3,0.0
2023-02-01,2.35,0.63,1.73,12.9,10.99,1.91
2023-02-02,2.73,2.24,0.49,15.98,13.48,2.5
2023-02-03,-0.83,-1.88,1.05,15.02,11.35,3.67
2023-02-06,-1.22,-0.7,-0.52,13.61,10.57,3.05
2023-02-07,2.5,-0.25,2.75,16.45,10.29,6.16
2023-02-08,-1.21,-0.46,-0.74,15.05,9.78,5.26
2023-02-09,-0.55,-1.1,0.55,14.42,8.58,5.84
2023-02-10,-0.46,0.35,-0.82,13.89,8.96,4.92
2023-02-13,1.73,0.91,0.82,15.86,9.95,5.91
2023-02-14,0.43,-0.81,1.24,16.36,9.06,7.3
2023-02-15,0.47,0.41,0.06,16.9,9.5,7.4
2023-02-16,-1.74,-0.94,-0.8,14.87,8.48,6.39
2023-02-17,-1.25,-0.41,-0.84,13.44,8.03,5.41
2023-02-20,0.0,0.0,0.0,13.44,8.03,5.41
2023-02-21,-2.37,-2.01,-0.36,10.74,5.86,4.89
2023-02-22,-0.15,-0.93,0.78,10.58,4.87,5.71
2023-02-23,1.66,0.73,0.93,12.41,5.63,6.78
2023-02-24,-1.78,-1.68,-0.1,10.41,3.86,6.55
2023-02-27,0.54,0.14,0.39,11.0,4.01,6.99
2023-02-28,-0.22,-0.16,-0.06,10.76,3.84,6.91
2023-03-01,-0.73,-1.28,0.55,9.95,2.51,7.44
2023-03-02,1.23,1.18,0.05,11.3,3.72,7.58
2023-03-03,2.15,1.56,0.59,13.69,5.33,8.36
2023-03-06,0.48,-0.43,0.91,14.24,4.88,9.36
2023-03-07,-1.24,-2.32,1.08,12.82,2.44,10.38
2023-03-08,0.83,1.17,-0.35,13.75,3.64,10.11
2023-03-09,-1.43,-2.32,0.88,12.12,1.24,10.88
2023-03-10,-1.76,-3.33,1.57,10.15,-2.13,12.28
2023-03-13,0.55,1.34,-0.8,10.75,-0.82,11.56
2023-03-14,2.31,0.98,1.33,13.31,0.16,13.15
2023-03-15,0.06,-0.16,0.22,13.37,0.0,13.37
2023-03-16,2.81,-0.16,2.97,16.55,-0.16,16.71
2023-03-17,-0.14,-2.27,2.14,16.39,-2.43,18.82
2023-03-20,0.27,1.16,-0.89,16.7,-1.3,18.0
2023-03-21,0.81,-0.45,1.25,17.64,-1.74,19.38
2023-03-22,-1.0,-3.7,2.7,16.47,-5.37,21.84
2023-03-23,1.63,-0.67,2.3,18.37,-6.01,24.38
2023-03-24,0.26,2.59,-2.33,18.68,-3.58,22.25
2023-03-27,-0.77,-0.15,-0.62,17.76,-3.72,21.48
2023-03-28,-0.47,-0.2,-0.27,17.2,-3.92,21.12
2023-03-29,2.1,2.25,-0.16,19.66,-1.75,21.42
2023-03-30,1.16,1.24,-0.07,21.05,-0.54,21.59
2023-03-31,1.43,2.26,-0.83,22.78,1.71,21.07
2023-04-03,-0.16,-0.81,0.65,22.59,0.89,21.7
2023-04-04,-0.55,-0.16,-0.39,21.91,0.73,21.18
2023-04-05,-1.14,-0.53,-0.61,20.52,0.2,20.33
2023-04-06,0.57,0.69,-0.12,21.21,0.89,20.32
