date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.39,0.76,-0.37,0.39,0.76,-0.37
2023-01-05,-1.01,-1.15,0.14,-0.62,-0.4,-0.22
2023-01-06,2.67,2.29,0.38,2.03,1.88,0.15
2023-01-09,-0.98,-0.06,-0.92,1.04,1.82,-0.78
2023-01-10,-0.13,0.7,-0.83,0.9,2.53,-1.63
2023-01-11,0.05,1.29,-1.23,0.96,3.85,-2.89
2023-01-12,-0.79,0.35,-1.14,0.16,4.22,-4.05
2023-01-13,0.47,0.4,0.07,0.63,4.64,-4.0
2023-01-16,0.0,0.0,0.0,0.63,4.64,-4.0
2023-01-17,0.07,-0.2,0.27,0.7,4.42,-3.72
2023-01-18,-2.73,-1.56,-1.17,-2.05,2.8,-4.85
2023-01-19,-0.95,-0.75,-0.2,-2.98,2.03,-5.0
2023-01-20,0.78,1.89,-1.12,-2.22,3.96,-6.18
2023-01-23,0.32,1.19,-0.87,-1.91,5.19,-7.11
2023-01-24,0.41,-0.07,0.48,-1.51,5.12,-6.63
2023-01-25,0.25,-0.02,0.26,-1.27,5.1,-6.37
2023-01-26,-0.35,1.11,-1.46,-1.62,6.27,-7.88
2023-01-27,-0.29,0.25,-0.54,-1.9,6.54,-8.43
2023-01-30,0.12,-1.29,1.41,-1.78,5.16,-6.94
2023-01-31,1.08,1.47,-0.38,-0.71,6.71,-7.42
2023-02-01,0.8,1.05,-0.25,0.08,7.82,-7.74
2023-02-02,-0.86,1.48,-2.34,-0.78,9.41,-10.19
2023-02-03,-0.39,-1.03,0.64,-1.17,8.28,-9.46
2023-02-06,0.12,-0.61,0.73,-1.05,7.63,-8.68
2023-02-07,-0.42,1.29,-1.71,-1.47,9.01,-10.48
2023-02-08,-0.77,-1.11,0.34,-2.22,7.81,-10.03
2023-02-09,-0.44,-0.87,0.43,-2.65,6.87,-9.53
2023-02-10,0.93,0.23,0.69,-1.75,7.12,-8.87
2023-02-13,1.14,1.16,-0.02,-0.63,8.37,-9.0
2023-02-14,-0.91,-0.02,-0.89,-1.53,8.35,-9.88
2023-02-15,0.19,0.3,-0.11,-1.35,8.67,-10.02
2023-02-16,-0.72,-1.37,0.65,-2.06,7.19,-9.25
2023-02-17,1.29,-0.26,1.55,-0.79,6.91,-7.7
2023-02-20,0.0,0.0,0.0,-0.79,6.91,-7.7
2023-02-21,-0.38,-2.0,1.62,-1.17,4.77,-5.94
2023-02-22,-0.15,-0.16,0.01,-1.32,4.6,-5.92
2023-02-23,-0.12,0.54,-0.66,-1.44,5.17,-6.61
2023-02-24,-0.67,-1.05,0.38,-2.1,4.07,-6.17
2023-02-27,-0.11,0.32,-0.43,-2.21,4.4,-6.61
2023-02-28,-0.83,-0.29,-0.53,-3.02,4.09,-7.11
2023-03-01,-0.74,-0.47,-0.27,-3.73,3.61,-7.34
2023-03-02,1.37,0.77,0.6,-2.41,4.41,-6.82
2023-03-03,0.08,1.62,-1.54,-2.33,6.1,-8.43
2023-03-06,0.26,0.07,0.19,-2.07,6.18,-8.25
2023-03-07,-0.99,-1.53,0.54,-3.04,4.56,-7.6
2023-03-08,0.17,0.15,0.02,-2.88,4.71,-7.59
2023-03-09,-0.93,-1.83,0.9,-3.78,2.8,-6.58
2023-03-10,-0.49,-1.44,0.95,-4.25,1.32,-5.57
2023-03-13,0.51,-0.15,0.65,-3.77,1.17,-4.94
2023-03-14,0.91,1.67,-0.76,-2.89,2.86,-5.75
2023-03-15,0.65,-0.7,1.35,-2.26,2.14,-4.4
2023-03-16,0.07,1.77,-1.7,-2.19,3.95,-6.14
2023-03-17,-0.73,-1.1,0.37,-2.91,2.81,-5.72
2023-03-20,1.38,0.89,0.49,-1.57,3.72,-5.29
2023-03-21,-0.08,1.31,-1.39,-1.65,5.08,-6.73
2023-03-22,-0.92,-1.64,0.72,-2.56,3.36,-5.91
2023-03-23,-0.39,0.31,-0.7,-2.94,3.67,-6.61
2023-03-24,1.7,0.56,1.14,-1.28,4.26,-5.54
2023-03-27,0.53,0.16,0.37,-0.76,4.43,-5.19
2023-03-28,0.18,-0.16,0.33,-0.58,4.27,-4.85
2023-03-29,0.56,1.42,-0.87,-0.03,5.75,-5.78
2023-03-30,0.28,0.59,-0.3,0.26,6.37,-6.12
2023-03-31,0.81,1.45,-0.64,1.07,7.91,-6.84
2023-04-03,0.52,0.37,0.15,1.6,8.31,-6.72
2023-04-04,-0.2,-0.57,0.37,1.39,7.69,-6.3
2023-04-05,0.47,-0.24,0.7,1.87,7.44,-5.57
2023-04-06,0.08,0.38,-0.3,1.95,7.85,-5.9
2023-04-07,0.0,0.0,0.0,1.95,7.85,-5.9
2023-04-10,0.0,0.1,-0.1,1.95,7.96,-6.01
2023-04-11,0.29,0.0,0.3,2.25,7.95,-5.71
2023-04-12,-0.45,-0.41,-0.04,1.79,7.51,-5.72
2023-04-13,0.56,1.34,-0.78,2.35,8.95,-6.6
2023-04-14,-0.63,-0.21,-0.43,1.7,8.72,-7.02
2023-04-17,0.64,0.33,0.31,2.35,9.09,-6.73
2023-04-18,0.3,0.09,0.22,2.67,9.18,-6.51
2023-04-19,-0.07,-0.01,-0.06,2.6,9.17,-6.57
2023-04-20,0.24,-0.58,0.82,2.84,8.53,-5.69
2023-04-21,0.72,0.09,0.63,3.59,8.63,-5.05
2023-04-24,0.4,0.09,0.32,4.0,8.72,-4.72
2023-04-25,-0.13,-1.58,1.45,3.87,7.01,-3.14
2023-04-26,-0.78,-0.38,-0.4,3.06,6.6,-3.54
2023-04-27,1.12,1.96,-0.84,4.21,8.69,-4.48
2023-04-28,0.53,0.84,-0.3,4.76,9.6,-4.83
2023-05-01,0.08,-0.04,0.12,4.84,9.55,-4.71
2023-05-02,-0.27,-1.16,0.89,4.56,8.29,-3.73
2023-05-03,-0.82,-0.7,-0.12,3.71,7.53,-3.82
2023-05-04,-0.25,-0.71,0.46,3.45,6.77,-3.32
2023-05-05,0.93,1.85,-0.92,4.41,8.74,-4.33
2023-05-08,-0.3,0.05,-0.34,4.1,8.79,-4.7
2023-05-09,-0.31,-0.45,0.14,3.77,8.3,-4.53
2023-05-10,-0.16,0.45,-0.61,3.61,8.79,-5.18
2023-05-11,0.3,-0.15,0.45,3.92,8.63,-4.71
2023-05-12,0.39,-0.14,0.53,4.33,8.48,-4.15
2023-05-15,-0.25,0.31,-0.56,4.07,8.82,-4.75
2023-05-16,-0.84,-0.63,-0.21,3.19,8.13,-4.94
2023-05-17,-0.05,1.21,-1.26,3.14,9.44,-6.3
2023-05-18,-0.49,0.96,-1.45,2.64,10.49,-7.85
2023-05-19,0.07,-0.14,0.21,2.71,10.33,-7.63
