date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.91,1.88,-0.97,0.91,1.88,-0.97
2023-01-05,-2.16,0.06,-2.23,-1.28,1.94,-3.21
2023-01-06,2.01,1.68,0.33,0.71,3.65,-2.94
2023-01-09,0.68,0.12,0.56,1.39,3.77,-2.38
2023-01-10,0.03,1.55,-1.52,1.42,5.38,-3.96
2023-01-11,0.81,0.71,0.1,2.24,6.14,-3.89
2023-01-12,-0.68,1.1,-1.78,1.55,7.31,-5.76
2023-01-13,-0.36,0.34,-0.7,1.18,7.67,-6.49
2023-01-16,0.0,0.0,0.0,1.18,7.67,-6.49
2023-01-17,-0.14,-0.95,0.81,1.04,6.64,-5.61
2023-01-18,-2.4,-1.23,-1.17,-1.39,5.33,-6.72
2023-01-19,-1.01,0.51,-1.52,-2.38,5.87,-8.25
2023-01-20,0.6,3.21,-2.62,-1.8,9.27,-11.07
2023-01-23,0.03,1.71,-1.68,-1.77,11.14,-12.91
2023-01-24,0.51,-0.29,0.79,-1.28,10.82,-12.1
2023-01-25,-1.35,0.33,-1.68,-2.61,11.18,-13.79
2023-01-26,0.33,1.57,-1.24,-2.28,12.93,-15.22
2023-01-27,0.0,0.71,-0.71,-2.28,13.73,-16.02
2023-01-30,-0.45,-1.57,1.12,-2.72,11.95,-14.67
2023-01-31,0.74,1.2,-0.46,-2.0,13.29,-15.29
2023-02-01,0.17,1.15,-0.98,-1.83,14.6,-16.43
2023-02-02,0.22,6.61,-6.39,-1.62,22.17,-23.79
2023-02-03,-2.09,-2.01,-0.08,-3.67,19.72,-23.39
2023-02-06,0.85,-1.22,2.08,-2.85,18.26,-21.11
2023-02-07,-0.04,1.89,-1.93,-2.89,20.49,-23.38
2023-02-08,-1.68,-3.15,1.47,-4.52,16.7,-21.22
2023-02-09,-1.37,-2.18,0.82,-5.83,14.15,-19.98
2023-02-10,1.99,-0.98,2.96,-3.96,13.04,-17.0
2023-02-13,0.61,1.48,-0.88,-3.38,14.72,-18.09
2023-02-14,-0.43,-0.02,-0.41,-3.79,14.69,-18.48
2023-02-15,0.65,0.96,-0.31,-3.16,15.8,-18.96
2023-02-16,-0.76,-1.56,0.8,-3.9,13.99,-17.89
2023-02-17,1.08,-0.13,1.21,-2.87,13.83,-16.7
2023-02-20,0.0,0.0,0.0,-2.87,13.83,-16.7
2023-02-21,-1.87,-2.15,0.28,-4.68,11.38,-16.06
2023-02-22,-0.39,0.15,-0.54,-5.05,11.55,-16.6
2023-02-23,-0.52,-0.45,-0.08,-5.55,11.05,-16.6
2023-02-24,0.03,-1.35,1.38,-5.52,9.55,-15.07
2023-02-27,-0.68,0.28,-0.95,-6.16,9.85,-16.01
2023-02-28,-1.75,0.2,-1.95,-7.8,10.07,-17.87
2023-03-01,-1.65,-0.81,-0.83,-9.32,9.17,-18.49
2023-03-02,1.89,1.01,0.88,-7.6,10.28,-17.88
2023-03-03,1.7,2.13,-0.42,-6.03,12.63,-18.66
2023-03-06,0.48,0.03,0.45,-5.57,12.67,-18.24
2023-03-07,-1.64,-1.06,-0.57,-7.12,11.47,-18.59
2023-03-08,0.76,0.12,0.64,-6.41,11.61,-18.02
2023-03-09,-0.8,-2.28,1.48,-7.16,9.06,-16.22
2023-03-10,-1.57,-1.44,-0.13,-8.62,7.49,-16.11
2023-03-13,1.54,0.07,1.47,-7.22,7.56,-14.78
2023-03-14,1.31,2.82,-1.51,-6.0,10.59,-16.59
2023-03-15,1.36,1.02,0.34,-4.72,11.72,-16.44
2023-03-16,0.67,2.28,-1.61,-4.09,14.26,-18.35
2023-03-17,-0.96,-0.93,-0.03,-5.01,13.19,-18.2
2023-03-20,0.78,0.7,0.08,-4.27,13.98,-18.25
2023-03-21,-2.01,2.19,-4.2,-6.2,16.48,-22.68
2023-03-22,-1.96,-1.76,-0.21,-8.04,14.43,-22.47
2023-03-23,-1.03,1.69,-2.72,-8.98,16.37,-25.35
2023-03-24,3.12,0.43,2.69,-6.14,16.87,-23.01
2023-03-27,0.12,-0.54,0.66,-6.03,16.24,-22.26
2023-03-28,0.27,-0.82,1.09,-5.77,15.29,-21.06
2023-03-29,1.46,1.3,0.15,-4.4,16.79,-21.18
2023-03-30,0.43,0.52,-0.09,-3.98,17.39,-21.38
2023-03-31,0.73,1.91,-1.18,-3.28,19.63,-22.92
2023-04-03,-0.68,0.36,-1.04,-3.94,20.07,-24.01
2023-04-04,0.51,0.35,0.16,-3.46,20.48,-23.94
2023-04-05,2.59,-0.36,2.95,-0.96,20.05,-21.0
2023-04-06,0.71,1.32,-0.62,-0.25,21.64,-21.89
2023-04-07,0.0,0.0,0.0,-0.25,21.64,-21.89
2023-04-10,-0.2,-0.25,0.05,-0.45,21.33,-21.79
2023-04-11,0.09,-0.28,0.37,-0.37,20.99,-21.36
2023-04-12,-0.1,-1.02,0.92,-0.47,19.75,-20.22
2023-04-13,0.01,2.09,-2.08,-0.45,22.25,-22.71
2023-04-14,-1.12,-0.02,-1.1,-1.57,22.23,-23.8
2023-04-17,0.55,-0.59,1.14,-1.03,21.51,-22.54
2023-04-18,-0.52,-0.51,-0.01,-1.54,20.89,-22.43
2023-04-19,0.77,-0.75,1.52,-0.78,19.98,-20.76
2023-04-20,-0.03,-1.02,0.99,-0.81,18.76,-19.57
2023-04-21,0.29,0.23,0.06,-0.53,19.03,-19.55
2023-04-24,0.5,-0.13,0.63,-0.03,18.87,-18.9
2023-04-25,-0.1,-1.52,1.42,-0.13,17.06,-17.18
2023-04-26,-2.35,-1.05,-1.3,-2.47,15.83,-18.3
2023-04-27,1.2,5.78,-4.58,-1.3,22.53,-23.83
2023-04-28,-0.14,0.88,-1.03,-1.44,23.61,-25.05
2023-05-01,0.17,0.0,0.17,-1.27,23.61,-24.88
2023-05-02,-1.22,-1.85,0.63,-2.47,21.33,-23.8
2023-05-03,-0.28,-0.4,0.12,-2.74,20.84,-23.58
2023-05-04,0.76,-1.6,2.36,-2.0,18.91,-20.91
2023-05-05,0.64,1.2,-0.56,-1.37,20.34,-21.71
2023-05-08,-0.3,1.01,-1.32,-1.67,21.56,-23.23
2023-05-09,-0.13,-0.61,0.48,-1.8,20.81,-22.61
2023-05-10,0.92,0.86,0.06,-0.9,21.85,-22.75
2023-05-11,-1.02,1.02,-2.05,-1.91,23.1,-25.01
2023-05-12,0.55,0.08,0.48,-1.37,23.19,-24.56
2023-05-15,-1.26,0.47,-1.73,-2.61,23.77,-26.39
2023-05-16,-2.22,-0.07,-2.15,-4.77,23.69,-28.46
2023-05-17,-0.36,1.2,-1.56,-5.11,25.17,-30.28
2023-05-18,-0.3,1.78,-2.08,-5.4,27.4,-32.8
2023-05-19,-0.15,-0.54,0.39,-5.54,26.71,-32.25
2023-05-22,0.03,0.91,-0.88,-5.51,27.87,-33.38
2023-05-23,-0.35,-1.23,0.89,-5.84,26.29,-32.13
2023-05-24,-0.65,-0.43,-0.22,-6.46,25.75,-32.2
2023-05-25,-1.34,-0.04,-1.3,-7.71,25.7,-33.41
2023-05-26,0.0,2.03,-2.03,-7.71,28.25,-35.97
2023-05-29,0.0,0.0,0.0,-7.71,28.25,-35.97
2023-05-30,-0.39,0.15,-0.54,-8.07,28.45,-36.52
2023-05-31,0.92,-0.02,0.94,-7.23,28.42,-35.65
2023-06-01,-0.74,1.35,-2.09,-7.91,30.16,-38.07
2023-06-02,1.04,0.12,0.92,-6.96,30.32,-37.28
2023-06-05,0.48,0.3,0.17,-6.51,30.71,-37.23
2023-06-06,-0.08,0.39,-0.46,-6.58,31.22,-37.8
2023-06-07,1.7,-1.15,2.84,-5.0,29.71,-34.71
2023-06-08,0.44,0.51,-0.08,-4.58,30.38,-34.96
2023-06-09,-0.58,0.06,-0.64,-5.14,30.45,-35.59
2023-06-12,-0.18,1.18,-1.36,-5.31,31.99,-37.3
