date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.27,0.91,-0.65,0.27,0.91,-0.65
2023-01-05,-1.02,-1.09,0.06,-0.76,-0.18,-0.58
2023-01-06,0.92,2.69,-1.77,0.16,2.51,-2.35
2023-01-09,-1.67,-0.42,-1.26,-1.52,2.08,-3.6
2023-01-10,0.84,0.54,0.3,-0.69,2.63,-3.32
2023-01-11,0.56,0.96,-0.39,-0.13,3.61,-3.75
2023-01-12,-0.32,0.57,-0.89,-0.45,4.2,-4.65
2023-01-13,0.44,-0.12,0.57,-0.01,4.08,-4.08
2023-01-16,0.0,0.0,0.0,-0.01,4.08,-4.08
2023-01-17,-0.47,-0.84,0.38,-0.47,3.2,-3.67
2023-01-18,-1.41,-1.84,0.44,-1.88,1.3,-3.17
2023-01-19,0.24,-2.05,2.29,-1.64,-0.78,-0.86
2023-01-20,0.5,1.4,-0.9,-1.14,0.61,-1.76
2023-01-23,0.34,1.09,-0.75,-0.8,1.71,-2.52
2023-01-24,-0.66,0.65,-1.31,-1.46,2.37,-3.83
2023-01-25,0.03,-0.53,0.56,-1.43,1.83,-3.26
2023-01-26,0.19,0.56,-0.37,-1.25,2.39,-3.64
2023-01-27,-0.68,0.35,-1.03,-1.92,2.76,-4.67
2023-01-30,-0.9,-0.97,0.06,-2.81,1.76,-4.57
2023-01-31,1.29,1.71,-0.42,-1.55,3.5,-5.05
2023-02-01,0.47,0.72,-0.25,-1.09,4.25,-5.33
2023-02-02,-0.68,0.79,-1.46,-1.76,5.07,-6.82
2023-02-03,-0.29,-0.52,0.23,-2.04,4.52,-6.57
2023-02-06,-0.56,-0.21,-0.35,-2.59,4.31,-6.9
2023-02-07,0.64,0.25,0.39,-1.96,4.57,-6.53
2023-02-08,-0.29,-0.59,0.29,-2.25,3.95,-6.2
2023-02-09,-0.88,-0.87,0.0,-3.11,3.05,-6.15
2023-02-10,0.94,0.74,0.2,-2.19,3.81,-6.0
2023-02-13,0.83,0.89,-0.06,-1.38,4.73,-6.11
2023-02-14,-0.59,-0.28,-0.31,-1.96,4.44,-6.4
2023-02-15,-0.5,0.63,-1.13,-2.45,5.09,-7.54
2023-02-16,-1.0,-1.05,0.05,-3.43,3.99,-7.42
2023-02-17,0.89,0.68,0.22,-2.56,4.7,-7.26
2023-02-20,0.0,0.0,0.0,-2.56,4.7,-7.26
2023-02-21,-1.3,-2.29,0.99,-3.82,2.3,-6.12
2023-02-22,-0.34,-0.26,-0.08,-4.15,2.04,-6.19
2023-02-23,0.27,0.47,-0.2,-3.89,2.51,-6.4
2023-02-24,-1.29,-0.57,-0.72,-5.13,1.93,-7.06
2023-02-27,-0.3,0.87,-1.18,-5.42,2.82,-8.24
2023-02-28,-0.74,-0.23,-0.51,-6.12,2.58,-8.7
2023-03-01,-0.17,0.38,-0.54,-6.27,2.97,-9.24
2023-03-02,0.61,1.21,-0.59,-5.7,4.21,-9.91
2023-03-03,1.12,1.07,0.05,-4.64,5.33,-9.97
2023-03-06,-0.05,-0.19,0.15,-4.69,5.13,-9.81
2023-03-07,-1.61,-1.26,-0.35,-6.22,3.8,-10.02
2023-03-08,-0.54,0.23,-0.76,-6.73,4.03,-10.76
2023-03-09,-1.01,-1.45,0.43,-7.67,2.53,-10.2
2023-03-10,-0.74,-1.81,1.08,-8.35,0.67,-9.02
2023-03-13,0.93,-0.61,1.54,-7.49,0.05,-7.55
2023-03-14,0.89,1.06,-0.17,-6.67,1.11,-7.78
2023-03-15,-0.09,-2.51,2.42,-6.75,-1.42,-5.32
2023-03-16,0.93,1.27,-0.34,-5.88,-0.17,-5.71
2023-03-17,-1.29,-1.62,0.33,-7.09,-1.79,-5.3
2023-03-20,1.26,1.36,-0.09,-5.91,-0.45,-5.46
2023-03-21,0.61,1.13,-0.52,-5.34,0.67,-6.01
2023-03-22,-1.51,-1.91,0.4,-6.77,-1.25,-5.53
2023-03-23,-0.19,-0.23,0.03,-6.95,-1.47,-5.48
2023-03-24,1.39,0.35,1.03,-5.66,-1.12,-4.54
2023-03-27,0.41,0.82,-0.42,-5.28,-0.31,-4.97
2023-03-28,-0.6,0.54,-1.15,-5.85,0.23,-6.08
2023-03-29,0.28,1.42,-1.14,-5.59,1.66,-7.24
2023-03-30,0.54,0.25,0.29,-5.08,1.91,-6.99
2023-03-31,1.07,1.32,-0.25,-4.06,3.26,-7.32
2023-04-03,1.12,0.19,0.93,-2.99,3.45,-6.44
2023-04-04,0.02,-2.25,2.27,-2.97,1.12,-4.09
2023-04-05,1.73,-1.3,3.03,-1.3,-0.19,-1.1
2023-04-06,0.25,-0.02,0.27,-1.05,-0.22,-0.83
