date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,1.45,0.76,0.69,1.45,0.76,0.69
2023-01-05,-0.93,-1.15,0.22,0.51,-0.4,0.9
2023-01-06,2.35,2.29,0.06,2.87,1.88,0.99
2023-01-09,0.61,-0.06,0.66,3.49,1.82,1.67
2023-01-10,1.26,0.7,0.56,4.79,2.53,2.26
2023-01-11,2.7,1.29,1.41,7.62,3.85,3.77
2023-01-12,0.17,0.35,-0.19,7.8,4.22,3.58
2023-01-13,0.94,0.4,0.54,8.81,4.64,4.17
2023-01-16,0.0,0.0,0.0,8.81,4.64,4.17
2023-01-17,0.07,-0.2,0.27,8.89,4.42,4.46
2023-01-18,-1.3,-1.56,0.25,7.47,2.8,4.67
2023-01-19,-1.66,-0.75,-0.91,5.69,2.03,3.66
2023-01-20,2.42,1.89,0.53,8.25,3.96,4.29
2023-01-23,1.56,1.19,0.37,9.94,5.19,4.74
2023-01-24,-0.11,-0.07,-0.04,9.81,5.12,4.69
2023-01-25,0.51,-0.02,0.53,10.37,5.1,5.27
2023-01-26,2.05,1.11,0.94,12.63,6.27,6.36
2023-01-27,2.27,0.25,2.02,15.19,6.54,8.65
2023-01-30,-1.7,-1.29,-0.42,13.23,5.16,8.06
2023-01-31,2.29,1.47,0.82,15.82,6.71,9.11
2023-02-01,1.9,1.05,0.85,18.02,7.82,10.19
2023-02-02,3.06,1.48,1.59,21.63,9.41,12.22
2023-02-03,-3.08,-1.03,-2.05,17.88,8.28,9.6
2023-02-06,-0.15,-0.61,0.46,17.71,7.63,10.08
2023-02-07,0.23,1.29,-1.06,17.98,9.01,8.97
2023-02-08,-0.85,-1.11,0.25,16.98,7.81,9.17
2023-02-09,-0.19,-0.87,0.68,16.76,6.87,9.89
2023-02-10,-1.17,0.23,-1.41,15.39,7.12,8.27
2023-02-13,1.46,1.16,0.3,17.08,8.37,8.72
2023-02-14,1.2,-0.02,1.22,18.48,8.35,10.14
2023-02-15,1.17,0.3,0.87,19.87,8.67,11.2
2023-02-16,-2.18,-1.37,-0.81,17.25,7.19,10.07
2023-02-17,0.02,-0.26,0.28,17.28,6.91,10.37
2023-02-20,0.0,0.0,0.0,17.28,6.91,10.37
2023-02-21,-3.34,-2.0,-1.34,13.36,4.77,8.59
2023-02-22,0.51,-0.16,0.66,13.93,4.6,9.33
2023-02-23,-0.08,0.54,-0.62,13.84,5.17,8.67
2023-02-24,-1.57,-1.05,-0.52,12.05,4.07,7.98
2023-02-27,1.24,0.32,0.92,13.44,4.4,9.04
2023-02-28,-0.07,-0.29,0.22,13.36,4.09,9.27
2023-03-01,-1.26,-0.47,-0.79,11.93,3.61,8.33
2023-03-02,-0.33,0.77,-1.11,11.56,4.41,7.15
2023-03-03,2.15,1.62,0.53,13.96,6.1,7.85
2023-03-06,-0.73,0.07,-0.8,13.12,6.18,6.94
2023-03-07,-1.36,-1.53,0.17,11.58,4.56,7.03
2023-03-08,-0.18,0.15,-0.33,11.38,4.71,6.67
2023-03-09,-2.38,-1.83,-0.55,8.72,2.8,5.93
2023-03-10,-1.0,-1.44,0.44,7.64,1.32,6.32
2023-03-13,0.21,-0.15,0.36,7.87,1.17,6.7
2023-03-14,1.7,1.67,0.03,9.7,2.86,6.84
2023-03-15,-0.15,-0.7,0.55,9.53,2.14,7.39
2023-03-16,1.81,1.77,0.04,11.51,3.95,7.56
2023-03-17,-1.28,-1.1,-0.18,10.09,2.81,7.28
2023-03-20,0.43,0.89,-0.46,10.56,3.72,6.84
2023-03-21,2.76,1.31,1.46,13.62,5.08,8.54
2023-03-22,-2.23,-1.64,-0.59,11.09,3.36,7.73
2023-03-23,-0.11,0.31,-0.41,10.97,3.67,7.29
2023-03-24,-0.32,0.56,-0.89,10.61,4.26,6.35
2023-03-27,0.2,0.16,0.04,10.84,4.43,6.4
2023-03-28,-0.12,-0.16,0.04,10.7,4.27,6.43
2023-03-29,1.9,1.42,0.47,12.8,5.75,7.05
2023-03-30,0.87,0.59,0.29,13.79,6.37,7.42
2023-03-31,2.67,1.45,1.22,16.83,7.91,8.91
2023-04-03,-0.92,0.37,-1.29,15.76,8.31,7.45
2023-04-04,-0.16,-0.57,0.41,15.57,7.69,7.88
2023-04-05,-2.05,-0.24,-1.81,13.2,7.44,5.76
2023-04-06,0.02,0.38,-0.36,13.23,7.85,5.38
2023-04-07,0.0,0.0,0.0,13.23,7.85,5.38
2023-04-10,0.44,0.1,0.34,13.73,7.96,5.77
2023-04-11,0.16,0.0,0.16,13.91,7.95,5.95
2023-04-12,-1.55,-0.41,-1.14,12.14,7.51,4.63
2023-04-13,2.21,1.34,0.87,14.62,8.95,5.67
2023-04-14,0.13,-0.21,0.34,14.76,8.72,6.04
2023-04-17,0.71,0.33,0.38,15.58,9.09,6.49
2023-04-18,0.16,0.09,0.08,15.76,9.18,6.59
2023-04-19,-0.09,-0.01,-0.09,15.66,9.17,6.49
2023-04-20,-1.54,-0.58,-0.96,13.87,8.53,5.34
2023-04-21,1.1,0.09,1.01,15.13,8.63,6.5
2023-04-24,-0.01,0.09,-0.1,15.12,8.72,6.39
2023-04-25,-1.98,-1.58,-0.4,12.84,7.01,5.82
2023-04-26,-0.51,-0.38,-0.13,12.26,6.6,5.66
2023-04-27,2.64,1.96,0.68,15.22,8.69,6.53
2023-04-28,0.26,0.84,-0.58,15.51,9.6,5.92
2023-05-01,-0.99,-0.04,-0.95,14.37,9.55,4.82
2023-05-02,0.1,-1.16,1.26,14.49,8.29,6.21
2023-05-03,-0.79,-0.7,-0.09,13.59,7.53,6.06
2023-05-04,-0.77,-0.71,-0.06,12.71,6.77,5.94
2023-05-05,2.02,1.85,0.17,14.99,8.74,6.25
2023-05-08,0.34,0.05,0.29,15.38,8.79,6.59
2023-05-09,-0.03,-0.45,0.42,15.35,8.3,7.05
2023-05-10,0.51,0.45,0.06,15.94,8.79,7.14
2023-05-11,0.46,-0.15,0.61,16.48,8.63,7.84
2023-05-12,-0.85,-0.14,-0.71,15.49,8.48,7.01
2023-05-15,0.13,0.31,-0.18,15.64,8.82,6.82
2023-05-16,-0.41,-0.63,0.23,15.17,8.13,7.04
2023-05-17,2.08,1.21,0.87,17.57,9.44,8.13
2023-05-18,1.55,0.96,0.59,19.4,10.49,8.91
2023-05-19,-0.84,-0.14,-0.7,18.4,10.33,8.06
2023-05-22,-0.31,0.03,-0.34,18.03,10.36,7.67
2023-05-23,-0.91,-1.12,0.21,16.95,9.13,7.82
2023-05-24,-0.37,-0.73,0.36,16.52,8.33,8.19
2023-05-25,-0.45,0.88,-1.33,16.0,9.28,6.72
2023-05-26,2.35,1.31,1.04,18.73,10.72,8.01
2023-05-29,0.0,0.0,0.0,18.73,10.72,8.01
2023-05-30,0.67,0.01,0.66,19.52,10.73,8.8
2023-05-31,-0.9,-0.59,-0.31,18.44,10.07,8.37
2023-06-01,1.18,1.0,0.18,19.84,11.18,8.66
2023-06-02,2.35,1.46,0.89,22.66,12.8,9.85
2023-06-05,0.3,-0.2,0.5,23.02,12.58,10.45
2023-06-06,1.04,0.24,0.8,24.3,12.84,11.46
2023-06-07,-0.68,-0.38,-0.3,23.46,12.42,11.04
2023-06-08,1.48,0.63,0.85,25.29,13.13,12.16
2023-06-09,0.52,0.12,0.4,25.94,13.26,12.68
2023-06-12,1.72,0.93,0.79,28.1,14.31,13.79
2023-06-13,1.04,0.7,0.34,29.43,15.11,14.32
2023-06-14,-0.07,0.11,-0.18,29.34,15.23,14.1
2023-06-15,0.65,1.24,-0.58,30.18,16.66,13.52
2023-06-16,-0.15,-0.37,0.22,29.98,16.23,13.75
2023-06-19,0.0,0.0,0.0,29.98,16.23,13.75
2023-06-20,0.75,-0.47,1.22,30.96,15.68,15.27
2023-06-21,-1.2,-0.52,-0.68,29.38,15.08,14.3
2023-06-22,1.28,0.38,0.9,31.03,15.52,15.51
2023-06-23,-1.16,-0.77,-0.39,29.52,14.64,14.88
2023-06-26,-1.28,-0.45,-0.83,27.86,14.12,13.73
2023-06-27,2.15,1.15,1.0,30.6,15.43,15.17
2023-06-28,0.4,-0.04,0.43,31.12,15.39,15.73
2023-06-29,0.11,0.46,-0.35,31.26,15.92,15.34
